price,rent,Apartement
18000.0,rent,store
20000.0,rent,house
28000.0,rent,house
45000.0,rent,house
48500.0,rent,house
4200.0,rent,house
4000.0,rent,apartment
35000.0,rent,house
2950.0,rent,apartment
22500.0,rent,house
3500.0,rent,store
28000.0,rent,house
45000.0,rent,house
25000.0,rent,house
10000.0,rent,store
20000.0,rent,store
5000.0,rent,house
27500.0,rent,house
6500.0,rent,store
10000.0,rent,store
12000.0,rent,store
10000.0,rent,store
3800.0,rent,PH
3500.0,rent,apartment
30000.0,rent,store
2500.0,rent,apartment
3500.0,rent,store
3000.0,rent,store
2800.0,rent,store
4500.0,rent,store
13000.0,rent,house
35000.0,rent,house
25000.0,rent,house
23000.0,rent,house
11000.0,rent,house
7000.0,rent,house
8000.0,rent,house
5000.0,rent,PH
3000.0,rent,house
8500.0,rent,store
4500.0,rent,store
3000.0,rent,apartment
3600.0,rent,apartment
6000.0,rent,house
2800.0,rent,apartment
3200.0,rent,apartment
3500.0,rent,apartment
3200.0,rent,apartment
3000.0,rent,apartment
8500.0,rent,house
5000.0,rent,house
3500.0,rent,apartment
4500.0,rent,apartment
8500.0,rent,house
3200.0,rent,apartment
2600.0,rent,store
3500.0,rent,apartment
3060.0,rent,apartment
18000.0,rent,house
4000.0,rent,apartment
5500.0,rent,apartment
3200.0,rent,apartment
3100.0,rent,apartment
9000.0,rent,house
2700.0,rent,house
3200.0,rent,apartment
7500.0,rent,apartment
5000.0,rent,apartment
3500.0,rent,apartment
9000.0,rent,house
5000.0,rent,apartment
12000.0,rent,house
4800.0,rent,house
13000.0,rent,house
10000.0,rent,house
14040.0,rent,house
30000.0,rent,store
1000.0,rent,house
17000.0,rent,house
20000.0,rent,house
15000.0,rent,house
15000.0,rent,house
9500.0,rent,house
10000.0,rent,store
15000.0,rent,store
9500.0,rent,house
18000.0,rent,house
4500.0,rent,apartment
2750.0,rent,apartment
2900.0,rent,apartment
42000.0,rent,store
4900.0,rent,store
4000.0,rent,PH
16000.0,rent,store
2300.0,rent,apartment
10500.0,rent,apartment
6500.0,rent,PH
5500.0,rent,apartment
720.0,rent,apartment
1500.0,rent,house
15000.0,rent,house
950.0,rent,apartment
12000.0,rent,house
14000.0,rent,house
6500.0,rent,apartment
4000.0,rent,apartment
10000.0,rent,store
25000.0,rent,store
850.0,rent,apartment
850.0,rent,apartment
10000.0,rent,store
30000.0,rent,apartment
20000.0,rent,house
12000.0,rent,store
2700.0,rent,apartment
40000.0,rent,house
3500.0,rent,house
5000.0,rent,house
25000.0,rent,house
4500.0,rent,apartment
35000.0,rent,house
7500.0,rent,store
2600.0,rent,apartment
3800.0,rent,house
3300.0,rent,apartment
3000.0,rent,apartment
7000.0,rent,store
22000.0,rent,store
3000.0,rent,apartment
4200.0,rent,apartment
18000.0,rent,house
3500.0,rent,apartment
15000.0,rent,store
3500.0,rent,apartment
2500.0,rent,store
22000.0,rent,store
3200.0,rent,apartment
2300.0,rent,apartment
3300.0,rent,apartment
7000.0,rent,house
3500.0,rent,store
3300.0,rent,apartment
28000.0,rent,store
25000.0,rent,house
2400.0,rent,apartment
3500.0,rent,apartment
6000.0,rent,store
3300.0,rent,apartment
16000.0,rent,store
2700.0,rent,apartment
1500.0,rent,store
3300.0,rent,house
3000.0,rent,apartment
3000.0,rent,store
3800.0,rent,house
